model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,negpos,positive,15,0.19911104010685735,0.08060276447241407,150,15000,0.006581188160504888
Llama-3.2-3B-Instruct,negpos,positive,16,0.19014239744327682,0.08507596328030316,150,15000,0.00694642331375003
Llama-3.2-3B-Instruct,negpos,positive,17,0.18394329801058523,0.08387061869311559,150,15000,0.00684800734032219
Llama-3.2-3B-Instruct,negpos,positive,18,0.17681886080396605,0.08375404058095265,150,15000,0.006838488777322986
Llama-3.2-3B-Instruct,negpos,positive,19,0.17596241891112457,0.08247569300457566,150,15000,0.0067341121347880804
Llama-3.2-3B-Instruct,negpos,positive,20,0.17410027724845584,0.08452512555378706,150,15000,0.006901447601715391
Llama-3.2-3B-Instruct,negpos,positive,21,0.16987530790414218,0.08401653545522533,150,15000,0.006859921394058456
Llama-3.2-3B-Instruct,negpos,positive,22,0.1659221185649984,0.08315349586350321,150,15000,0.006789454506473818
Llama-3.2-3B-Instruct,negpos,positive,23,0.1625793759872161,0.08251231493063016,150,15000,0.0067371023025291285
Llama-3.2-3B-Instruct,negpos,positive,24,0.15609344249252852,0.08117660311095325,150,15000,0.006628041889142034
Llama-3.2-3B-Instruct,negpos,positive,25,0.1541488202002267,0.07920740203977811,150,15000,0.006467257294964662
Llama-3.2-3B-Instruct,negpos,positive,26,0.1583101032910333,0.07778393065592834,150,15000,0.006351031343168482
Llama-3.2-3B-Instruct,negpos,positive,27,0.15853957959644333,0.07850232080253094,150,15000,0.006409687653015802
Llama-3.2-3B-Instruct,posneg,negative,0,0.5055736557585855,0.11796754163833666,150,15000,0.009632009440815104
Llama-3.2-3B-Instruct,posneg,negative,1,0.45591112045674315,0.09459877811743603,150,15000,0.007723957889282711
Llama-3.2-3B-Instruct,posneg,negative,2,0.4392294337299013,0.0673890287231155,150,15000,0.005502291154446413
Llama-3.2-3B-Instruct,posneg,negative,3,0.37509700821152,0.03995451099002368,150,15000,0.003262272161599359
Llama-3.2-3B-Instruct,posneg,negative,4,0.22618197234534193,0.02976662559151796,150,15000,0.0024304348021230164
Llama-3.2-3B-Instruct,posneg,negative,5,0.24762165854445015,0.05052685848943629,150,15000,0.004125500720164378
Llama-3.2-3B-Instruct,posneg,negative,6,0.22733990909372362,0.05564571958251508,150,15000,0.004543453978238658
Llama-3.2-3B-Instruct,posneg,negative,7,0.24132481643662368,0.06549974074755537,150,15000,0.005348031437203141
Llama-3.2-3B-Instruct,posneg,negative,8,0.2437486964155939,0.07057433768759788,150,15000,0.005762370542316243
Llama-3.2-3B-Instruct,posneg,negative,9,0.2453637808665925,0.08115228702552664,150,15000,0.006626056489080797
Llama-3.2-3B-Instruct,posneg,negative,10,0.25340867489687485,0.08830890433242834,150,15000,0.007210391845290139
Llama-3.2-3B-Instruct,posneg,negative,11,0.2530383809882326,0.09149863425412855,150,15000,0.007470832202805248
Llama-3.2-3B-Instruct,posneg,negative,12,0.2408537343019301,0.08309636375171552,150,15000,0.006784789689080235
Llama-3.2-3B-Instruct,posneg,negative,13,0.2396276304318996,0.08009784926765032,150,15000,0.006539962006670085
Llama-3.2-3B-Instruct,posneg,negative,14,0.23552564046488147,0.0790797021291631,150,15000,0.006456830640924469
Llama-3.2-3B-Instruct,posneg,negative,15,0.21949178370240152,0.07630922594654171,150,15000,0.006230622207859263
Llama-3.2-3B-Instruct,posneg,negative,16,0.21414548599917102,0.08292064115778291,150,15000,0.006770441999366463
Llama-3.2-3B-Instruct,posneg,negative,17,0.2055790770514875,0.08449428316082265,150,15000,0.006898929330875083
Llama-3.2-3B-Instruct,posneg,negative,18,0.1970622281774706,0.08407888984072621,150,15000,0.0068650126083151875
Llama-3.2-3B-Instruct,posneg,negative,19,0.1962651902997698,0.08429166469514261,150,15000,0.0068823856024290255
Llama-3.2-3B-Instruct,posneg,negative,20,0.19459229048265073,0.08625237724167684,150,15000,0.007042477111471755
Llama-3.2-3B-Instruct,posneg,negative,21,0.18728528635274144,0.085840157417821,150,15000,0.007008819503794863
Llama-3.2-3B-Instruct,posneg,negative,22,0.1816558666166248,0.08463718577301219,150,15000,0.006910597280300923
Llama-3.2-3B-Instruct,posneg,negative,23,0.17732183622681674,0.08358600534516306,150,15000,0.006824768757773227
Llama-3.2-3B-Instruct,posneg,negative,24,0.16901860502712757,0.08247333256045508,150,15000,0.006733919405332687
Llama-3.2-3B-Instruct,posneg,negative,25,0.16558509509580935,0.08100944442989305,150,15000,0.006614393439986229
Llama-3.2-3B-Instruct,posneg,negative,26,0.1677802210018329,0.08086471163679429,150,15000,0.006602576056914904
Llama-3.2-3B-Instruct,posneg,negative,27,0.16746473197220332,0.08202644694008526,150,15000,0.006697431347222916
Llama-3.2-3B-Instruct,posneg,positive,0,0.3963881291928437,0.1332066539657175,150,15000,0.010876277751983104
Llama-3.2-3B-Instruct,posneg,positive,1,0.3663678248593301,0.10622670847636345,150,15000,0.008673374427415705
Llama-3.2-3B-Instruct,posneg,positive,2,0.36575830678019744,0.0848400975053978,150,15000,0.00692716495387322
Llama-3.2-3B-Instruct,posneg,positive,3,0.2621587892122571,0.04934334067959857,150,15000,0.004028866895644421
Llama-3.2-3B-Instruct,posneg,positive,4,0.12749059362618814,0.0450487740184861,150,15000,0.003678216996107968
Llama-3.2-3B-Instruct,posneg,positive,5,0.1474305560248009,0.06483429331491371,150,15000,0.005293697881849237
Llama-3.2-3B-Instruct,posneg,positive,6,0.12957488300418316,0.07220081696467928,150,15000,0.005895172019184919
Llama-3.2-3B-Instruct,posneg,positive,7,0.1719819069268411,0.08752194546003418,150,15000,0.0071461369224260825
Llama-3.2-3B-Instruct,posneg,positive,8,0.18054184899736295,0.08821340053333245,150,15000,0.007202593992747398
